TYPE,ADDRESS,LOCATION,LOCATION_2,ENTRANCE_T,TYPE_2,LAT,LNG
Pedestrian and Vehicular,WEST RIVER DR,West Fairmount Park, ,"Trail - Park, Parking Lot",Primary,39.98157588,-75.2057114632
Vehicular,SWEETBRIAR DR,West Fairmount Park, ,Road,Secondary,39.9772066604,-75.1982482923
Vehicular,34TH ST,West Fairmount Park, ,Road,Primary,39.9682170971,-75.1924652534
Pedestrian,MARTIN LUTHER KING DR,West Fairmount Park, ,Trail - Park,Primary,39.9641752887,-75.184194796
Pedestrian and Vehicular,MARTIN LUTHER KING DR,West Fairmount Park, ,"Trail - Park, Road",Primary,39.9646930133,-75.1844238424
Vehicular,GIRARD AVE,West Fairmount Park, ,Road,Secondary,39.9747510576,-75.1986377415
Vehicular,SCHUYLKILL EXPY,West Fairmount Park, ,Road,Secondary,39.974803433,-75.1991661163
Pedestrian,3400 W GIRARD AVE,West Fairmount Park,Philadelphia Zoological Gardens,Trail - Park,Primary,39.9747536346,-75.1996127198
Pedestrian,3400 W GIRARD AVE,West Fairmount Park,Philadelphia Zoological Gardens,"Trail - Park, Parking Lot",Primary,39.974527459,-75.2017306977
Pedestrian,3400 W GIRARD AVE,West Fairmount Park,Philadelphia Zoological Gardens,"Trail - Park, Parking Lot",Primary,39.9744187686,-75.2026748861
Pedestrian and Vehicular,3400 W GIRARD AVE,West Fairmount Park,Philadelphia Zoological Gardens,Trail - Park,Primary,39.9747499426,-75.2049225564
Pedestrian,3400 W GIRARD AVE,West Fairmount Park, ,Trail - Park,Primary,39.974521306,-75.2043175354
Pedestrian,3400 W GIRARD AVE,West Fairmount Park,Philadelphia Zoological Gardens,"Trail - Park, Parking Lot",Primary,39.9743217646,-75.2037822241
Pedestrian and Vehicular,41ST ST,West Fairmount Park,Main Entrance,"Trail - Park, Road",Primary,39.9754095755,-75.2067077262
Pedestrian,41ST ST,West Fairmount Park, ,Trail - Park,Primary,39.9763822587,-75.2093390094
Pedestrian,41ST ST,West Fairmount Park, ,Trail - Park,Primary,39.9763308794,-75.2092009891
Pedestrian and Vehicular,41ST ST,West Fairmount Park,"Main Entrance, Memorial Hall","Trail - Park, Road",Primary,39.976736129,-75.2103020277
Pedestrian and Vehicular,41ST ST,West Fairmount Park,"Main Entrance, Memorial Hall","Trail - Park, Road",Primary,39.977083944,-75.2112319548
Pedestrian,4301 S CONCOURSE DR,West Fairmount Park,Case Building,Trail - Park,Primary,39.9778425667,-75.2132985366
Pedestrian and Vehicular,BELMONT AVE,West Fairmount Park, ,"Trail - Park, Road",Primary,39.9779323169,-75.2135102035
Pedestrian,PARKSIDE AVE,West Fairmount Park, ,Trail - Park,Primary,39.9808032413,-75.2212827211
Pedestrian,PARKSIDE AVE,West Fairmount Park, ,Trail - Park,Primary,39.9808978797,-75.2215314415
Pedestrian and Vehicular,PARKSIDE AVE,West Fairmount Park, ,"Trail - Park, Road",Primary,39.9816631084,-75.2239784277
Pedestrian,PARKSIDE AVE,West Fairmount Park, ,Trail - Park,Primary,39.9819141934,-75.2262594217
Pedestrian,PARKSIDE AVE,West Fairmount Park,Evans Playground Building,Trail - Park,Primary,39.9827289956,-75.2268994475
Pedestrian and Vehicular,PARKSIDE AVE,West Fairmount Park,Evans Playground Building,"Trail - Park, Parking Lot",Primary,39.98332824,-75.2269072455
Pedestrian and Vehicular,WYNNEFIELD AVE,West Fairmount Park, ,"Trail - Park, Road",Primary,39.990202119,-75.2200225196
Vehicular,BELMONT MANSION DR,West Fairmount Park, ,Road,Secondary,39.992502348,-75.2187875529
Pedestrian and Vehicular,BELMONT AVE,West Fairmount Park, ,"Trail - Park, Road",Primary,39.9936130616,-75.2178225201
Pedestrian and Vehicular,EDGLEY AVE,West Fairmount Park, ,"Trail - Park, Road",Primary,39.9964195264,-75.2149357983
Pedestrian and Vehicular,FORD RD,West Fairmount Park, ,"Trail - Park, Road",Primary,39.9990312739,-75.2071505835
Pedestrian,WENTWORTH RD,West Fairmount Park, ,Trail - Park,Primary,39.999762488,-75.2064765246
Vehicular,FALLS RD,West Fairmount Park, ,Road,Primary,40.0045884787,-75.2021655441
Pedestrian,FALLS RD,West Fairmount Park, ,Trail - Park,Primary,40.0047243217,-75.2019998072
Pedestrian and Vehicular,BELLS MILL RD,Wissahickon Valley Park, ,"Trail - Park, Road",Primary,40.0796463211,-75.2245866062
Vehicular,VALLEY GREEN RD,Wissahickon Valley Park, ,Road,Primary,40.0582742572,-75.2126176262
Vehicular,GERMANTOWN AVE,Wissahickon Valley Park, ,Road,Secondary,40.0670406798,-75.1965051607
Vehicular,GERMANTOWN AVE,Wissahickon Valley Park, ,Road,Secondary,40.0663158554,-75.1962942421
Vehicular,LINCOLN DR,Wissahickon Valley Park, ,Road,Primary,40.0389447427,-75.1916977046
Vehicular,JOHNSON ST,Wissahickon Valley Park, ,Road,Secondary,40.0387279897,-75.1912631148
