GIS_FPC_PP,PERIMETER,MAT,LIGHTS,PARK,SPACES,LAT,LNG
8266.99157657,453.7255798,Paved,1,American Legion,20,40.0188044212,-75.0547647126
20054.5870679,928.20201772,Paved,1,Barnes Foundation Museum, ,39.9610355788,-75.1725011285
9474.06791225,475.46041689,Paved,1,Carousel House, ,39.9788367755,-75.2123945669
500.21243962,146.87828141,Paved,1,Center Square,3,39.9531308619,-75.1629612614
9109.54965748,494.92895804,Paved,1,Clarence H Clark Park,33,39.9467944475,-75.2092212039
1118.07293627,159.7527515,Paved,0,Clarence H Clark Park,5,39.94626513,-75.2089212417
749.52528516,167.7006179,Paved,0,Clifford Park - Thomas Mansion,4,40.0349216312,-75.1900864349
2386.07209112,208.90531203,Grass,0,Cobbs Creek South, ,39.9373184367,-75.2341880089
8367.54199083,407.57978846, ,0,Cobbs Creek South, ,39.9413269464,-75.2383849209
1145.41060379,155.30785641,Grass,0,Cobbs Creek South,6,39.9529398119,-75.2522393913
691.29774539,113.6803427,Grass,0,Cobbs Creek South, ,39.9532450372,-75.2520180294
728.53677329,108.00595255, ,1,Cobbs Creek South, ,39.952485898,-75.2527194846
1206.57048029,181.19335565,Grass,0,Cobbs Creek South, ,39.9545149847,-75.250542773
1511.37588677,189.03569159,Grass,0,Cobbs Creek South, ,39.9548901921,-75.2502239345
1643.50750201,192.509973,Grass,0,Cobbs Creek South, ,39.9627294149,-75.2500890754
6084.05124445,379.18645014,Paved,1,East Fairmount Park,15,39.97511543,-75.1917411591
2285.81604992,204.32781153,Asphalt,0,East Fairmount Park,4,39.9758007247,-75.1880327055
10452.7084502,459.12472422,Paved,1,East Fairmount Park, ,39.9862142168,-75.1993047462
2132.53438932,195.54577697,Paved,1,East Fairmount Park, ,40.0071687974,-75.1913443843
6468.11188362,1293.60885517,Paved,0,East Fairmount Park,31,40.0089724621,-75.1957151627
1635.26242396,208.42431314,Earth,0,Eastwick Park, ,39.9053706319,-75.2383644143
2773.25492186,247.95973332,Paved,1,Fisher Park,6,40.0434108647,-75.1310873217
38878.4545402,911.78125627,Paved,0,Fluehr Park,112,40.0543902432,-74.9893704626
19666.645368,728.45659087,Paved,0,Fort Mifflin, ,39.876536022,-75.21185383
3276.10310475,320.78235486, ,0,Fox Chase Farm, ,40.0906364797,-75.0751385766
1680.4248413,205.413732,Paved,0,Fox Chase Farm, ,40.0901439694,-75.0736014758
878.990369,129.04851736,Paved,0,Fox Chase Farm,4,40.0899329001,-75.0749262271
1674.42851709,171.19907411, ,0,Franklin D Roosevelt Golf Course, ,39.905174763,-75.1834031439
14528.3444434,531.76954205,Paved,0,Gorgas Park, ,40.0359503718,-75.2236231908
1021.55956789,131.69676347,Asphalt,1,Holmesburg Playground,4,40.0363366621,-75.0261011899
882.94783161,126.38808383,Asphalt,1,Holmesburg Playground,4,40.0362086736,-75.0263405276
2064.82135004,196.96902396,Paved,0,Horticulture Center,7,39.9830412044,-75.2102971838
7319.30470331,781.00542472,Paved,0,Houseman Playground, ,40.028103284,-75.0947585223
7720.57774849,945.38791692, ,0,John Byrne Golf Course, ,40.0599006267,-74.9979517072
1150.2127563,171.4722453,Paved,0,Junod Park, ,40.1026321426,-74.9694010742
16307.8695407,1512.81912662,Paved,1,Junod Park, ,40.1040806439,-74.9670571672
8776.95185081,369.81087821,Paved,0,Kendrick Recreation Center, ,40.028779747,-75.2113984819
1610.48835412,282.22440822,Paved,0,Kendrick Recreation Center, ,40.028423675,-75.2112745167
12320.1388667,445.06154518,Asphalt,1,Lackman Playground,31,40.0997722493,-75.0332083587
15720.2275214,756.85790457, ,0,Lawncrest Recreation Center, ,40.0464835503,-75.0999641378
22230.1488859,629.79257121,Asphalt,1,Lincoln Pool,33,40.04262284,-75.0402363837
891.24672547,122.2632908,Paved,0,Loudoun Park, ,40.0257280571,-75.1610288142
1177.32040374,151.16429246, ,0,Manayunk Canal, ,40.0433727326,-75.2497016709
2369.7056248,195.85249955,Paved,0,McPherson Square, ,39.9948527045,-75.119092712
1612.41803351,162.9335625,Paved,1,Morton Playground,7,40.0396389264,-75.1742239131
4282.47895223,279.50254454,Paved,1,Northeast Older Adult Center, ,40.0551172381,-75.0626995395
1084.3511967,186.96512598,Paved,0,Pastorius Park,5,40.0696712131,-75.2042251972
1229.58878195,184.05565625,Asphalt,0,Pelbano Playground,8,40.0624552754,-75.0510961617
4394.95591435,266.985816,Aphalt,0,Pelbano Playground,17,40.0621392929,-75.0514685129
10192.0239538,451.95360532,Paved,0,Pennypack on the Delaware, ,40.0303608896,-75.0145350907
4242.16735677,966.75103207,Asphalt,0,Philadelphia Museum of Art,25,39.9654505407,-75.1826133713
2445.96193933,269.2218184,Asphalt,1,Philadelphia Zoological Gardens,15,39.9742361256,-75.195098065
27937.948917,730.69542307,Asphalt,0,Philadelphia Zoological Gardens,80,39.9687927551,-75.1931757021
3551.41279426,426.56521847,Paved,0,Pleasant Playground,35,40.0568082621,-75.1824641535
9199.17333415,567.43640112,Asphalt,0,Pulaski Park, ,39.978228545,-75.0972519695
1122.69801849,148.64916767,Earth,0,Rittenhouse Town,4,40.0287208369,-75.1921336656
10240.5492753,759.23275229,Paved,0,Rittenhouse Town, ,40.0289000771,-75.1904302032
585.79028533,109.1982946,Paved,0,River Field, ,39.9625227677,-75.178552889
2982.09288318,238.86780086,Earth,0,Rose Playground, ,39.9739047343,-75.2591995234
11093.1816682,1065.6963041, ,0,Torresdale Playground, ,40.0598784745,-74.9977446103
6265.4282016,316.6435449,Asphalt,0,Trumbette Playground, ,40.0485098831,-75.0036162912
