BROAD ST,S PENN SQ,S BROAD ST & S PENN SQ,-75.16402481,39.95162917
MARKET ST,20TH ST,MARKET ST & N 20TH ST,-75.17317749,39.95357263
LOMBARD ST,8TH ST,LOMBARD ST & S 8TH ST,-75.15526828,39.94341633
20TH ST,CHESTNUT ST,S 20TH ST & CHESTNUT ST,-75.17349066,39.95205378
JFK BLVD,17TH ST,JOHN F KENNEDY BLVD & N 17TH ST,-75.16821466,39.95400633
JFK BLVD,18TH ST,JOHN F KENNEDY BLVD & N 18TH ST,-75.16978957,39.95419624
BROAD ST,CHERRY ST,N BROAD ST & CHERRY ST,-75.16301597,39.95534633
21ST ST,MARKET ST,N 21ST ST & MARKET ST,-75.17508763,39.95380154
MARKET ST,21ST ST,MARKET ST & N 21ST ST,-75.17508763,39.95380154
12TH ST,WALNUT ST,S 12TH ST & WALNUT ST,-75.16053818,39.94888178
SOUTH ST,23RD ST,SOUTH ST & S 23RD ST,-75.17973344,39.94541503
JFK BLVD,19TH ST,JOHN F KENNEDY BLVD & N 19TH ST,-75.17136677,39.95438128
VINE ST,20TH ST,VINE ST & N 20TH ST,-75.17191188,39.95928991
19TH ST,CHESTNUT ST,S 19TH ST & CHESTNUT ST,-75.17191653,39.95185712
11TH ST,WALNUT ST,S 11TH ST & WALNUT ST,-75.15896642,39.94868229
19TH ST,VINE ST,N 19TH ST & VINE ST,-75.17034291,39.959092
SPRING GARDEN ST,BROAD ST,SPRING GARDEN ST & N BROAD ST,-75.16138425,39.96247527
LOMBARD ST,12TH ST,LOMBARD ST & S 12TH ST,-75.16155619,39.94419744
MARKET ST,4TH ST,MARKET ST & N 4TH ST,-75.14725817,39.95037181
16TH ST,SPRING GARDEN ST,N 16TH ST & SPRING GARDEN ST,-75.16468389,39.9627932
22ND ST,CHESTNUT ST,S 22ND ST & CHESTNUT ST,-75.17700205,39.95249506
21ST ST,WINTER ST,N 21ST ST & WINTER ST,-75.173948,39.95900448
S. MATTIS ST,DOCK ST,38TH PARALLEL PL & DOCK ST,-75.14378838,39.94533962
11TH ST,LOCUST ST,S 11TH ST & LOCUST ST,-75.15921193,39.94754556
LOMBARD ST,17TH ST,LOMBARD ST & S 17TH ST,-75.17010529,39.94526858
4TH ST,MARKET ST,N 4TH ST & MARKET ST,-75.14725817,39.95037181
MARKET ST,5TH ST,MARKET ST & N 5TH ST,-75.14891846,39.95055538
VINE ST,19TH ST,VINE ST & N 19TH ST,-75.17034291,39.959092
BROAD ST,SPRING GARDEN ST,N BROAD ST & SPRING GARDEN ST,-75.16138425,39.96247527
ARCH ST,20TH ST,ARCH ST & N 20TH ST,-75.17278495,39.95560586
11TH ST,LOMBARD ST,S 11TH ST & LOMBARD ST,-75.15998554,39.94401027
SPRING GARDEN ST,17TH ST,SPRING GARDEN ST & N 17TH ST,-75.16625245,39.9629917
19TH ST,JFK BLVD,N 19TH ST & JOHN F KENNEDY BLVD,-75.17136677,39.95438128
BROAD ST,ARCH ST,N BROAD ST & ARCH ST,-75.1632158,39.95442583
8TH ST,ARCH ST,N 8TH ST & ARCH ST,-75.15314474,39.95315475
BROAD ST,CALLOWHILL ST,N BROAD ST & CALLOWHILL ST,-75.16209185,39.95960822
ARCH ST,4TH ST,ARCH ST & N 4TH ST,-75.14680649,39.95237076
4TH ST,ARCH ST,N 4TH ST & ARCH ST,-75.14680649,39.95237076
MARKET ST,SCHUYLKILL AVE,MARKET ST & N SCHUYLKILL AVE W,-75.1812195,39.95459534
ARCH ST,19TH ST,ARCH ST & N 19TH ST,-75.17113448,39.95539521
ARCH ST,7TH ST,ARCH ST & N 7TH ST,-75.15154009,39.9529497
20TH ST,COMMERCE ST,N 20TH ST & COMMERCE ST,-75.17306679,39.95420951
JFK BLVD,20TH ST,JOHN F KENNEDY BLVD & N 20TH ST,-75.17300469,39.95455427
JFK BLVD,15TH,JOHN F KENNEDY BLVD & N 15TH ST,-75.16506447,39.95360997
15TH ST,MARKET ST,N 15TH ST & MARKET ST,-75.16522794,39.95257775
16th ST,MARKET ST,N 16TH ST & MARKET ST,-75.16685749,39.95278012
22ND ST,WINTER ST,N 22ND ST & WINTER ST,-75.17553765,39.95919304
29TH ST,MARKET ST,MARKET ST & N SCHUYLKILL AVE W,-75.1812195,39.95459534
SPRING GARDEN ST,7TH ST,SPRING GARDEN ST & N 7TH ST,-75.1498427,39.96136203
SPRING GARDEN ST,8TH ST,SPRING GARDEN ST & N 8TH ST,-75.15179241,39.96144493
ARCH ST,11TH ST,ARCH ST & N 11TH ST,-75.1578643,39.95374947
17TH ST,MARKET ST,N 17TH ST & MARKET ST,-75.16844424,39.95297695
23RD ST,CHESTNUT ST,S 23RD ST & CHESTNUT ST,-75.17814959,39.95263443
22ND ST,SOUTH ST,S 22ND ST & SOUTH ST,-75.17857829,39.94527024
8TH ST,RACE ST,N 8TH ST & RACE ST,-75.15273565,39.95500997
11TH ST,CHESTNUT ST,S 11TH ST & CHESTNUT ST,-75.15863406,39.95020405
16TH ST,CHESTNUT ST,S 16TH ST & CHESTNUT ST,-75.16719569,39.95126484
BROAD ST,PINE ST,S BROAD ST & PINE ST,-75.16515402,39.94555824
JFK BLVD,15TH ST,JOHN F KENNEDY BLVD & N 15TH ST,-75.16506447,39.95360997
COLUMBUS BLVD,DOCK ST,COLUMBUS BLVD & DOCK ST,-75.14205631,39.9451254
7TH ST,CHESTNUT ST,S 7TH ST & CHESTNUT ST,-75.15233708,39.94942255
8TH ST,MARKET ST,N 8TH ST & MARKET ST,-75.15358353,39.95112816
16TH ST,JFK BLVD,N 16TH ST & JOHN F KENNEDY BLVD,-75.16661762,39.95379916
SPRING GARDEN ST,8TH ST,SPRING GARDEN ST & N 8TH ST,-75.15179241,39.96144493
MARKET ST,4TH ST,MARKET ST & N 4TH ST,-75.14725817,39.95037181
19TH ST,JFK BLVD,N 19TH ST & JOHN F KENNEDY BLVD,-75.17136677,39.95438128
GREENE ST,CHELTEN AV,GREENE ST & W CHELTEN AVE,-75.17649624,40.03409786
WAYNE AV,CHELTEN AV,WAYNE AVE & W CHELTEN AVE,-75.17891466,40.03173807
